Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,student_comment
1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,"""Despite attending all day classes, I'm truly struggling acadically, which is only exacerbated by the high unemployment rate in my area. Being single, I feel immense pressure to secure a job instead of focusing solely on my studies."""
1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,"""Attending day classes for my graduate studies has been manageable, but the high local unemployment rate does add a layer of stress to my single lifestyle. Nonetheless, I'm maintaining a decent grade average and staying focused on my academic pursuits."""
1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,"""Despite attending day classes, I've been finding it impossible to keep up with the coursework and my grades have suffered as a result. With the local unemployment rate so high, it's been stressful to think about job prospects after dropping out."""
1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,"""Being a graduate student and attending day classes has been quite a journey, and with a local unemployment rate of 9.4%, I am very focused on improving my grade average to increase my job prospects post-graduation."""
2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,"""Balancing evening classes with my marital responsibilities has been quite a challenge, especially in the face of the current high unemployment rate in our area."""
2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,"""Balancing graduate studies with evening classes is challenging, especially when considering my responsibilities at home due to my marital status. The high unemployment rate in the area adds another layer of stress."""
1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,"""Despite the high unemployment rate in the area, I'm focusing on my graduate studies and maintaining a decent average grade. The day classes work well for my single lifestyle, allowing me to dedicate ample time to my studies."""
1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,"""Despite attending all day classes, I've been unable to keep up with academic demands and my grades have suffered greatly. The high local unemployment rate has compounded my personal stress and it's been a tough challenge staying focused."""
1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,"""Despite being single and dedicating my time to attend day classes, I'm finding it challenging to excel academically given the local unemployment rate. It's a constant concern that keeps me slightly distracted from my studies."""
1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,"""Despite managing a decent grade average, the daytime classes were tough to keep up with and I ultimately had to drop out. The local unemployment rate being so high doesn't help either, as it's difficult to find a job to support myself while studying."""
1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,"""As a single graduate student attending day classes, achieving an average of 14.2 out of 20 has been quite challenging. The local unemployment rate of 13.9% adds a layer of stress, making it crucial to excel academically and secure a promising future."""
1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,"""Being a single graduate student attending day classes, I've been able to maintain a decent average grade just above 13/20. However, the local unemployment rate of 12.7% is a bit unsettling and adds an element of stress to my academic journey."""
1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,"""Despite attending day classes, I couldn't keep up with the academic demands and eventually dropped out, especially with the local unemployment rate at 12.7% making finding work a priority."""
1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,"""As a single graduate student, attending all day classes, I'm finding it moderately challenging to maintain my average grade of 11.0/20, especially with the current local unemployment rate of 8.9% creating an uncertain future."""
1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,"""As a single graduate student, attending day classes, I maintain an average grade of 12.0/20 and it's a bit challenging considering the local unemployment rate is 10.8%, which adds a certain level of stress and uncertainty for my future."""
1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,"""Despite attending day classes, I've found it impossible to make headway on my grades, especially with the local unemployment rate being so high. It's been a real struggle."""
1,9,1,10,1,1,1,13,28,6,9,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,"""Despite attending day classes, I'm finding it challenging to achieve higher grades. As a single student in a region with high unemployment, it's crucial for me to improve my academic performance to secure a better future."""
1,8,2,12,1,1,1,13,1,6,5,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,"""Despite being single, it's a bit challenging to focus solely on my graduate studies given the high unemployment rate in our area. Thankfully, attending all the day classes helps to maintain my solid average grade."""
1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,"""Despite being single and attending day classes, achieving a perfect score is still a challenge in my graduate studies. The local unemployment rate of 10.8% is a constant reminder of the competitive job market awaiting post-graduation."""
1,1,1,16,1,1,1,13,14,8,8,1,0,0,1,0,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,"""Despite the high local unemployment rate making job hunting a concern, I am currently enrolled and attending day classes, maintaining a decent average grade of 13.5/20. Being single does allow me to focus more on my studies, though the economic climate can be distracting."""
1,1,3,2,1,1,1,1,1,10,9,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,"""As a graduate student, I'm finding it extremely difficult to grasp the academic material, despite attending all day classes, which is reflected in my current average grade of 0.0. Being single in an area with a high unemployment rate of 11.1% adds to my stress and makes it even tougher to focus on my studies."""
1,9,4,13,1,1,1,1,28,5,8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,"""Finding some aspects of the coursework challenging but holding up well with the day classes. The high local unemployment rate adds some stress, but I am focusing on my studies and staying positive."""
1,1,4,12,1,1,1,13,14,2,2,1,0,0,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,"""Even though I'm single and attending day classes, I'm finding it a bit challenging to achieve higher grades in my graduate studies amidst the local high unemployment rate."""
